['36', '-', '24', '=', '2']
['9', '+', '26', '=', '20']
['9', '+', '26', '=', '26']
['9', '+', '26', '=', '29']
['3', '+', '36', '=', '28']
['3', '+', '20', '=', '28']
['3', '+', '29', '=', '28']
['3', '+', '26', '=', '38']
['2', '-', '66', '=', '28']
['2', '-', '96', '=', '28']
['2', '-', '26', '=', '68']
['2', '-', '26', '=', '98']
['2', '=', '26', '+', '28']
['2', '+', '36', '=', '28']
['2', '+', '86', '=', '22']
['2', '+', '86', '=', '23']
['2', '+', '86', '=', '25']
['2', '+', '65', '=', '28']
['2', '+', '66', '=', '20']
['2', '+', '66', '=', '26']
['2', '+', '66', '=', '29']
['2', '+', '95', '=', '28']
['2', '+', '96', '=', '20']
['2', '+', '96', '=', '26']
['2', '+', '96', '=', '29']
['2', '+', '30', '=', '28']
['2', '+', '39', '=', '28']
['2', '+', '20', '=', '28']
['2', '+', '25', '=', '68']
['2', '+', '25', '=', '98']
['2', '+', '29', '=', '28']
['2', '+', '20', '=', '38']
['2', '+', '29', '=', '38']
['2', '+', '26', '=', '38']
['2', '+', '26', '=', '82']
['2', '+', '26', '=', '83']
['2', '+', '26', '=', '85']
['2', '+', '26', '=', '60']
['2', '+', '26', '=', '66']
['2', '+', '26', '=', '69']
['2', '+', '26', '=', '90']
['2', '+', '26', '=', '96']
['2', '+', '26', '=', '99']
['8', '-', '25', '=', '28']
['8', '-', '26', '=', '20']
['8', '-', '26', '=', '26']
['8', '-', '26', '=', '29']
['8', '+', '25', '=', '20']
['8', '+', '25', '=', '26']
['8', '+', '25', '=', '29']
['3', '-', '28', '=', '28']
['3', '+', '28', '=', '20']
['3', '+', '28', '=', '26']
['3', '+', '28', '=', '29']
['2', '-', '85', '=', '28']
['2', '-', '86', '=', '20']
['2', '-', '86', '=', '26']
['2', '-', '86', '=', '29']
['2', '-', '38', '=', '28']
['2', '-', '28', '=', '28']
['2', '-', '25', '=', '88']
['2', '-', '28', '=', '38']
['2', '-', '26', '=', '80']
['2', '-', '26', '=', '86']
['2', '-', '26', '=', '89']
['2', '=', '28', '-', '28']
['2', '+', '85', '=', '20']
['2', '+', '85', '=', '26']
['2', '+', '85', '=', '29']
['2', '+', '38', '=', '20']
['2', '+', '38', '=', '26']
['2', '+', '38', '=', '29']
['2', '+', '28', '=', '20']
['2', '+', '28', '=', '26']
['2', '+', '28', '=', '29']
['2', '+', '25', '=', '80']
['2', '+', '25', '=', '86']
['2', '+', '25', '=', '89']
['2', '+', '28', '=', '36']
['2', '+', '28', '=', '39']
['70', '-', '29', '=', '11']
['30', '-', '54', '=', '11']
['40', '-', '53', '=', '11']
['40', '-', '55', '=', '11']
['78', '-', '49', '=', '11']
['78', '-', '52', '=', '11']
['72', '+', '59', '=', '11']
['72', '-', '69', '=', '11']
['72', '-', '99', '=', '11']
['72', '-', '58', '=', '11']
['72', '-', '59', '=', '71']
['72', '-', '59', '=', '17']
['79', '-', '59', '=', '11']
['73', '+', '59', '=', '11']
['73', '-', '69', '=', '11']
['73', '-', '99', '=', '11']
['73', '-', '58', '=', '11']
['73', '-', '59', '=', '71']
['73', '-', '59', '=', '17']
['76', '-', '59', '=', '11']
['75', '+', '59', '=', '11']
['75', '-', '69', '=', '11']
['75', '-', '99', '=', '11']
['75', '-', '58', '=', '11']
['75', '-', '59', '=', '71']
['75', '-', '59', '=', '17']
['76', '-', '39', '=', '11']
['76', '-', '50', '=', '11']
['76', '-', '56', '=', '11']
['79', '-', '39', '=', '11']
['79', '-', '50', '=', '11']
['79', '-', '56', '=', '11']
['70', '+', '49', '=', '11']
['70', '+', '52', '=', '11']
['70', '-', '39', '=', '11']
['70', '-', '62', '=', '11']
['70', '-', '92', '=', '11']
['70', '-', '84', '=', '11']
['70', '-', '48', '=', '11']
['70', '-', '49', '=', '71']
['70', '-', '49', '=', '17']
['70', '-', '30', '=', '11']
['70', '-', '36', '=', '11']
['70', '-', '50', '=', '11']
['70', '-', '56', '=', '11']
['70', '-', '54', '=', '41']
['70', '-', '54', '=', '14']
['70', '-', '52', '=', '71']
['70', '-', '52', '=', '17']
['18', '-', '39', '=', '11']
['18', '-', '50', '=', '11']
['18', '-', '56', '=', '11']
['18', '-', '59', '=', '11']
['16', '+', '59', '=', '11']
['16', '-', '69', '=', '11']
['16', '-', '99', '=', '11']
['16', '-', '58', '=', '11']
['16', '-', '59', '=', '71']
['16', '-', '59', '=', '17']
['19', '+', '59', '=', '11']
['19', '-', '69', '=', '11']
['19', '-', '99', '=', '11']
['19', '-', '58', '=', '11']
['19', '-', '59', '=', '71']
['19', '-', '59', '=', '17']
['10', '+', '39', '=', '11']
['10', '+', '50', '=', '11']
['10', '+', '56', '=', '11']
['10', '+', '59', '=', '11']
['10', '=', '59', '+', '11']
['10', '-', '99', '=', '11']
['10', '-', '60', '=', '11']
['10', '-', '66', '=', '11']
['10', '-', '69', '=', '11']
['10', '-', '90', '=', '11']
['10', '-', '96', '=', '11']
['10', '-', '83', '=', '11']
['10', '-', '85', '=', '11']
['10', '-', '38', '=', '11']
['10', '-', '39', '=', '71']
['10', '-', '39', '=', '17']
['10', '-', '58', '=', '11']
['10', '-', '53', '=', '41']
['10', '-', '53', '=', '14']
['10', '-', '55', '=', '41']
['10', '-', '55', '=', '14']
['10', '-', '50', '=', '71']
['10', '-', '50', '=', '17']
['10', '-', '56', '=', '71']
['10', '-', '56', '=', '17']
['78', '+', '54', '=', '11']
['78', '-', '64', '=', '11']
['78', '-', '94', '=', '11']
['78', '-', '33', '=', '11']
['78', '-', '35', '=', '11']
['78', '-', '55', '=', '11']
['78', '-', '53', '=', '11']
['78', '-', '54', '=', '71']
['78', '-', '54', '=', '17']
['76', '+', '53', '=', '11']
['76', '+', '55', '=', '11']
['76', '=', '59', '-', '11']
['76', '-', '63', '=', '11']
['76', '-', '93', '=', '11']
['76', '-', '95', '=', '11']
['76', '-', '53', '=', '71']
['76', '-', '53', '=', '17']
['76', '-', '55', '=', '71']
['76', '-', '55', '=', '17']
['79', '+', '53', '=', '11']
['79', '+', '55', '=', '11']
['79', '=', '59', '-', '11']
['79', '-', '63', '=', '11']
['79', '-', '65', '=', '11']
['79', '-', '93', '=', '11']
['79', '-', '95', '=', '11']
['79', '-', '53', '=', '71']
['79', '-', '53', '=', '17']
['79', '-', '55', '=', '71']
['79', '-', '55', '=', '17']
['70', '=', '59', '-', '11']
['70', '+', '64', '=', '11']
['70', '+', '94', '=', '11']
['70', '+', '33', '=', '11']
['70', '+', '35', '=', '11']
['70', '+', '55', '=', '11']
['70', '+', '53', '=', '11']
['70', '+', '54', '=', '71']
['70', '+', '54', '=', '17']
['70', '=', '39', '-', '11']
['70', '=', '53', '+', '11']
['70', '=', '55', '+', '11']
['70', '=', '50', '-', '11']
['70', '=', '56', '-', '11']
['70', '-', '93', '=', '11']
['70', '-', '95', '=', '11']
['70', '-', '65', '=', '11']
['70', '-', '63', '=', '11']
['70', '-', '64', '=', '71']
['70', '-', '64', '=', '17']
['70', '-', '94', '=', '71']
['70', '-', '94', '=', '17']
['70', '-', '33', '=', '71']
['70', '-', '33', '=', '17']
['70', '-', '35', '=', '71']
['70', '-', '35', '=', '17']
['70', '-', '55', '=', '71']
['70', '-', '55', '=', '17']
['70', '-', '53', '=', '71']
['70', '-', '54', '=', '77']
['10', '-', '59', '=', '71']
['10', '-', '59', '=', '17']
['18', '+', '53', '=', '11']
['18', '+', '55', '=', '11']
['18', '=', '59', '-', '11']
['18', '-', '63', '=', '11']
['18', '-', '65', '=', '11']
['18', '-', '93', '=', '11']
['18', '-', '95', '=', '11']
['18', '-', '53', '=', '71']
['18', '-', '53', '=', '17']
['18', '-', '55', '=', '71']
['18', '-', '55', '=', '17']
['10', '+', '63', '=', '11']
['10', '+', '65', '=', '11']
['10', '+', '93', '=', '11']
['10', '+', '95', '=', '11']
['10', '+', '53', '=', '71']
['10', '+', '53', '=', '17']
['10', '+', '55', '=', '71']
['10', '+', '55', '=', '17']
['10', '=', '69', '-', '11']
['10', '=', '99', '-', '11']
['10', '=', '58', '-', '11']
['10', '=', '59', '-', '71']
['10', '=', '59', '-', '17']
['10', '-', '63', '=', '71']
['10', '-', '63', '=', '17']
['10', '-', '65', '=', '71']
['10', '-', '65', '=', '17']
['10', '-', '93', '=', '71']
['10', '-', '93', '=', '17']
['10', '-', '95', '=', '71']
['10', '-', '95', '=', '17']
['10', '-', '53', '=', '77']
['10', '-', '55', '=', '77']
['78', '=', '53', '-', '11']
['78', '=', '55', '-', '11']
['70', '=', '63', '-', '11']
['70', '=', '65', '-', '11']
['70', '=', '93', '-', '11']
['70', '=', '95', '-', '11']
['70', '=', '53', '-', '71']
['70', '=', '53', '-', '17']
['70', '=', '55', '-', '71']
['70', '=', '55', '-', '17']
['4', '+', '6', '=', '24']
['4', 'x', '6', '=', '54']
['1', 'x', '6', '=', '84']
['1', 'x', '6', '=', '29']
['9', 'x', '6', '=', '21']
['3', 'x', '5', '=', '24']
['5', 'x', '5', '=', '24']
['7', 'x', '8', '=', '24']
['4', 'x', '0', '=', '24']
['4', 'x', '5', '=', '64']
['4', 'x', '5', '=', '94']
['4', 'x', '5', '=', '23']
['4', 'x', '5', '=', '25']
['4', 'x', '8', '=', '27']
['4', 'x', '9', '=', '24']
['4', 'x', '0', '=', '34']
['4', 'x', '9', '=', '34']
['4', 'x', '6', '=', '34']
['4', 'x', '6', '=', '81']
['8', '+', '7', '=', '56']
['8', 'x', '7', '=', '26']
['0', 'x', '4', '=', '56']
['6', 'x', '4', '=', '56']
['9', 'x', '4', '=', '56']
['2', 'x', '3', '=', '56']
['2', 'x', '7', '=', '86']
['3', 'x', '3', '=', '56']
['3', 'x', '7', '=', '86']
['5', 'x', '3', '=', '56']
['5', 'x', '7', '=', '86']
['8', 'x', '4', '=', '55']
['8', 'x', '7', '=', '36']
['8', 'x', '7', '=', '62']
['8', 'x', '7', '=', '63']
['8', 'x', '7', '=', '92']
['8', 'x', '7', '=', '93']
['8', 'x', '7', '=', '48']
['8', 'x', '7', '=', '30']
['8', 'x', '7', '=', '39']
['8', 'x', '7', '=', '50']
['8', 'x', '7', '=', '59']
['6', 'x', '7', '=', '66']
['6', 'x', '7', '=', '96']
['6', 'x', '7', '=', '58']
['9', 'x', '7', '=', '66']
['9', 'x', '7', '=', '96']
['9', 'x', '7', '=', '58']
['0', 'x', '1', '=', '86']
['0', 'x', '3', '=', '55']
['0', 'x', '7', '=', '96']
['0', 'x', '7', '=', '60']
['0', 'x', '7', '=', '69']
['0', 'x', '7', '=', '66']
['0', 'x', '7', '=', '90']
['0', 'x', '7', '=', '99']
['0', 'x', '7', '=', '85']
['0', 'x', '7', '=', '38']
['0', 'x', '7', '=', '58']
['6', 'x', '1', '=', '86']
['6', 'x', '3', '=', '55']
['6', 'x', '7', '=', '60']
['6', 'x', '7', '=', '69']
['6', 'x', '7', '=', '90']
['6', 'x', '7', '=', '99']
['6', 'x', '7', '=', '85']
['6', 'x', '7', '=', '38']
['9', 'x', '1', '=', '86']
['9', 'x', '3', '=', '55']
['9', 'x', '7', '=', '60']
['9', 'x', '7', '=', '69']
['9', 'x', '7', '=', '90']
['9', 'x', '7', '=', '99']
['9', 'x', '7', '=', '85']
['9', 'x', '7', '=', '38']
['2', 'x', '7', '=', '68']
['2', 'x', '7', '=', '98']
['3', 'x', '7', '=', '68']
['3', 'x', '7', '=', '98']
['5', 'x', '7', '=', '68']
['5', 'x', '7', '=', '98']
['8', 'x', '1', '=', '96']
['8', 'x', '1', '=', '60']
['8', 'x', '1', '=', '69']
['8', 'x', '1', '=', '66']
['8', 'x', '1', '=', '90']
['8', 'x', '1', '=', '99']
['8', 'x', '1', '=', '85']
['8', 'x', '1', '=', '38']
['8', 'x', '1', '=', '58']
['8', 'x', '7', '=', '95']
['8', 'x', '7', '=', '65']
['0', 'x', '1', '=', '68']
['0', 'x', '1', '=', '98']
['6', 'x', '1', '=', '68']
['6', 'x', '1', '=', '98']
['9', 'x', '1', '=', '68']
['9', 'x', '1', '=', '98']
['98', '-', '82', '=', '13']
['68', '-', '85', '=', '13']
['38', '-', '80', '=', '13']
['38', '-', '85', '=', '10']
['38', '-', '85', '=', '16']
['58', '-', '80', '=', '13']
['58', '-', '85', '=', '10']
['58', '-', '85', '=', '16']
['48', '-', '88', '=', '13']
['48', '-', '85', '=', '43']
['48', '-', '85', '=', '18']
['88', '-', '84', '=', '13']
['88', '-', '85', '=', '14']
['28', '+', '85', '=', '13']
['28', '-', '86', '=', '13']
['28', '-', '89', '=', '13']
['28', '-', '85', '=', '73']
['28', '-', '85', '=', '19']
['68', '-', '83', '=', '13']
['68', '-', '85', '=', '12']
['68', '-', '85', '=', '15']
['90', '-', '80', '=', '13']
['90', '-', '85', '=', '10']
['90', '-', '85', '=', '16']
['96', '-', '80', '=', '13']
['96', '-', '85', '=', '10']
['96', '-', '85', '=', '16']
['99', '-', '80', '=', '13']
['99', '-', '85', '=', '10']
['99', '-', '85', '=', '16']
['92', '-', '88', '=', '13']
['92', '-', '85', '=', '43']
['92', '-', '85', '=', '18']
['93', '-', '88', '=', '13']
['93', '-', '85', '=', '43']
['93', '-', '85', '=', '18']
['95', '-', '88', '=', '13']
['95', '-', '85', '=', '43']
['95', '-', '85', '=', '18']
['98', '+', '84', '=', '13']
['98', '+', '85', '=', '14']
['98', '-', '60', '=', '13']
['98', '-', '65', '=', '10']
['98', '-', '65', '=', '16']
['98', '-', '90', '=', '13']
['98', '-', '95', '=', '10']
['98', '-', '95', '=', '16']
['98', '-', '28', '=', '13']
['98', '-', '25', '=', '43']
['98', '-', '25', '=', '18']
['98', '-', '38', '=', '13']
['98', '-', '35', '=', '43']
['98', '-', '35', '=', '18']
['98', '-', '58', '=', '13']
['98', '-', '55', '=', '18']
['98', '-', '83', '=', '13']
['98', '-', '86', '=', '14']
['98', '-', '89', '=', '14']
['98', '-', '88', '=', '17']
['98', '-', '84', '=', '73']
['98', '-', '84', '=', '19']
['98', '-', '83', '=', '12']
['98', '-', '85', '=', '74']
['98', '-', '85', '=', '47']
['98', '-', '85', '=', '12']
['98', '-', '85', '=', '15']
['80', '-', '85', '=', '13']
['86', '-', '85', '=', '13']
['89', '-', '85', '=', '13']
['88', '-', '65', '=', '13']
['88', '-', '95', '=', '13']
['58', '+', '85', '=', '13']
['58', '-', '86', '=', '13']
['58', '-', '89', '=', '13']
['58', '-', '85', '=', '73']
['58', '-', '85', '=', '19']
['30', '-', '88', '=', '13']
['30', '-', '85', '=', '43']
['30', '-', '85', '=', '18']
['36', '-', '88', '=', '13']
['36', '-', '85', '=', '43']
['36', '-', '85', '=', '18']
['39', '-', '88', '=', '13']
['39', '-', '85', '=', '43']
['39', '-', '85', '=', '18']
['38', '+', '83', '=', '13']
['38', '+', '85', '=', '12']
['38', '+', '85', '=', '15']
['38', '+', '85', '=', '13']
['38', '=', '85', '+', '13']
['38', '-', '68', '=', '13']
['38', '-', '65', '=', '43']
['38', '-', '65', '=', '18']
['38', '-', '98', '=', '13']
['38', '-', '95', '=', '43']
['38', '-', '95', '=', '18']
['38', '-', '89', '=', '13']
['38', '-', '86', '=', '12']
['38', '-', '86', '=', '15']
['38', '-', '86', '=', '13']
['38', '-', '89', '=', '12']
['38', '-', '89', '=', '15']
['38', '-', '83', '=', '73']
['38', '-', '83', '=', '19']
['38', '-', '85', '=', '72']
['38', '-', '85', '=', '75']
['38', '-', '85', '=', '19']
['38', '-', '85', '=', '73']
['50', '-', '88', '=', '13']
['50', '-', '85', '=', '43']
['50', '-', '85', '=', '18']
['56', '-', '88', '=', '13']
['56', '-', '85', '=', '43']
['56', '-', '85', '=', '18']
['59', '-', '88', '=', '13']
['59', '-', '85', '=', '43']
['59', '-', '85', '=', '18']
['58', '+', '83', '=', '13']
['58', '+', '85', '=', '12']
['58', '+', '85', '=', '15']
['58', '=', '85', '+', '13']
['58', '-', '68', '=', '13']
['58', '-', '65', '=', '43']
['58', '-', '65', '=', '18']
['58', '-', '98', '=', '13']
['58', '-', '95', '=', '43']
['58', '-', '95', '=', '18']
['58', '-', '86', '=', '12']
['58', '-', '86', '=', '15']
['58', '-', '89', '=', '12']
['58', '-', '89', '=', '15']
['58', '-', '83', '=', '73']
['58', '-', '83', '=', '19']
['58', '-', '85', '=', '72']
['58', '-', '85', '=', '75']
['48', '+', '86', '=', '13']
['48', '+', '89', '=', '13']
['48', '+', '85', '=', '73']
['48', '+', '85', '=', '19']
['48', '-', '86', '=', '73']
['48', '-', '86', '=', '19']
['48', '-', '89', '=', '73']
['48', '-', '89', '=', '19']
['48', '-', '85', '=', '79']
['80', '-', '83', '=', '13']
['80', '-', '85', '=', '12']
['80', '-', '85', '=', '15']
['86', '-', '83', '=', '13']
['86', '-', '85', '=', '12']
['86', '-', '85', '=', '15']
['89', '-', '83', '=', '13']
['89', '-', '85', '=', '12']
['89', '-', '85', '=', '15']
['82', '+', '85', '=', '13']
['82', '-', '86', '=', '13']
['82', '-', '89', '=', '13']
['82', '-', '85', '=', '73']
['82', '-', '85', '=', '19']
['83', '+', '85', '=', '13']
['83', '-', '86', '=', '13']
['83', '-', '89', '=', '13']
['83', '-', '85', '=', '73']
['83', '-', '85', '=', '19']
['85', '+', '85', '=', '13']
['85', '-', '86', '=', '13']
['85', '-', '89', '=', '13']
['85', '-', '85', '=', '73']
['85', '-', '85', '=', '19']
['88', '+', '25', '=', '13']
['88', '+', '35', '=', '13']
['88', '+', '55', '=', '13']
['88', '+', '85', '=', '17']
['88', '-', '63', '=', '13']
['88', '-', '65', '=', '12']
['88', '-', '65', '=', '15']
['88', '-', '93', '=', '13']
['88', '-', '95', '=', '12']
['88', '-', '95', '=', '15']
['88', '-', '26', '=', '13']
['88', '-', '29', '=', '13']
['88', '-', '25', '=', '73']
['88', '-', '25', '=', '19']
['88', '-', '36', '=', '13']
['88', '-', '39', '=', '13']
['88', '-', '35', '=', '73']
['88', '-', '35', '=', '19']
['88', '-', '56', '=', '13']
['88', '-', '59', '=', '13']
['88', '-', '55', '=', '73']
['88', '-', '55', '=', '19']
['88', '-', '86', '=', '17']
['88', '-', '89', '=', '17']
['88', '-', '85', '=', '77']
['60', '+', '85', '=', '13']
['60', '-', '86', '=', '13']
['60', '-', '89', '=', '13']
['60', '-', '85', '=', '73']
['60', '-', '85', '=', '19']
['66', '+', '85', '=', '13']
['66', '-', '86', '=', '13']
['66', '-', '89', '=', '13']
['66', '-', '85', '=', '73']
['66', '-', '85', '=', '19']
['69', '+', '85', '=', '13']
['69', '-', '86', '=', '13']
['69', '-', '89', '=', '13']
['69', '-', '85', '=', '73']
['69', '-', '85', '=', '19']
['68', '+', '65', '=', '13']
['68', '+', '95', '=', '13']
['68', '=', '85', '-', '13']
['68', '-', '66', '=', '13']
['68', '-', '69', '=', '13']
['68', '-', '65', '=', '73']
['68', '-', '65', '=', '19']
['68', '-', '96', '=', '13']
['68', '-', '99', '=', '13']
['68', '-', '95', '=', '73']
['68', '-', '95', '=', '19']
['96', '+', '85', '=', '13']
['96', '-', '86', '=', '13']
['96', '-', '89', '=', '13']
['96', '-', '85', '=', '73']
['96', '-', '85', '=', '19']
['99', '+', '85', '=', '13']
['99', '-', '89', '=', '13']
['99', '-', '85', '=', '73']
['99', '-', '85', '=', '19']
